"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
2274,84.12,1.2183,218.9,38.7
2274,93.09,1.3311,216.2,39.2
2274,102.95,1.4555,213.7,39.6
2274,110.70,1.5536,212.2,39.9
2274,117.57,1.6402,210.9,40.1
2274,128.79,1.7771,208.6,40.6
2274,134.25,1.8422,207.5,40.8
2274,141.12,1.9274,206.5,41.0
2274,146.99,2.0063,206.3,41.0
2274,153.55,2.1012,206.9,40.9
2274,159.87,2.1979,207.8,40.7
2274,164.44,2.2692,208.6,40.6
2274,168.56,2.3340,209.3,40.4
2274,172.58,2.3971,210.0,40.3
2274,177.26,2.4718,210.8,40.2
2274,181.55,2.5428,211.7,40.0
2274,185.17,2.6061,212.8,39.8
2274,189.91,2.6961,214.6,39.4
2274,193.48,2.7707,216.5,39.1
2274,198.36,2.8824,219.7,38.5
2274,207.98,3.1389,228.2,37.1
2274,215.22,3.3236,233.5,36.3
2274,218.00,3.3937,235.3,36.0
2409,18.39,0.4957,384.7,22.0
2409,33.61,0.6757,286.9,29.5
2409,42.29,0.7643,257.9,32.8
2409,50.98,0.8588,240.4,35.2
2409,58.53,0.9552,232.9,36.4
2409,66.91,1.0663,227.4,37.2
2409,76.55,1.1908,222.0,38.1
2409,84.12,1.2895,218.7,38.7
2409,93.09,1.4086,215.9,39.2
2409,102.95,1.5398,213.4,39.7
2409,110.70,1.6424,211.7,40.0
2409,117.57,1.7322,210.2,40.3
2409,128.79,1.8743,207.7,40.8
2409,134.25,1.9430,206.5,41.0
2409,141.12,2.0319,205.5,41.2
2409,146.99,2.1126,205.1,41.3
2409,153.55,2.2084,205.2,41.3
2409,159.87,2.3058,205.8,41.1
2409,164.44,2.3777,206.3,41.0
2409,168.56,2.4433,206.8,40.9
2409,172.58,2.5074,207.3,40.8
2409,177.26,2.5833,207.9,40.7
2409,181.55,2.6550,208.7,40.6
2409,185.17,2.7187,209.5,40.4
2409,189.91,2.8098,211.1,40.1
2409,193.48,2.8865,212.9,39.8
2409,198.36,3.0022,216.0,39.2
2409,207.98,3.2684,224.2,37.8
2409,215.22,3.4624,229.6,36.9
2409,218.00,3.5354,231.4,36.6
2576,18.39,0.5333,387.2,21.9
2576,33.61,0.7269,288.7,29.3
2576,42.29,0.8207,259.0,32.7
2576,50.98,0.9210,241.1,35.1
2576,58.53,1.0223,233.1,36.3
2576,66.91,1.1404,227.5,37.2
2576,76.55,1.2740,222.1,38.1
2576,84.12,1.3794,218.9,38.7
2576,93.09,1.5057,215.9,39.2
2576,102.95,1.6445,213.2,39.7
2576,110.70,1.7523,211.3,40.1
2576,117.57,1.8462,209.6,40.4
2576,128.79,1.9957,206.8,40.9
2576,134.25,2.0689,205.7,41.2
2576,141.12,2.1628,204.6,41.4
2576,146.99,2.2465,204.0,41.5
2576,153.55,2.3458,203.9,41.5
2576,159.87,2.4428,204.0,41.5
2576,164.44,2.5142,204.1,41.5
2576,168.56,2.5806,204.3,41.4
2576,172.58,2.6461,204.7,41.4
2576,177.26,2.7244,205.1,41.3
2576,181.55,2.7995,205.8,41.1
2576,185.17,2.8665,206.6,41.0
2576,189.91,2.9614,208.1,40.7
2576,193.48,3.0403,209.7,40.4
2576,198.36,3.1594,212.6,39.8
2576,207.98,3.4306,220.2,38.5
2576,215.22,3.6316,225.2,37.6
2576,218.00,3.7081,227.0,37.3
2779,18.39,0.5781,389.0,21.8
2779,33.61,0.7925,291.7,29.0
